chromosome	position	polarity
chromosome_10	464132	0
chromosome_10	464155	1
chromosome_10	464162	0
chromosome_10	464184	0
chromosome_10	464369	0
chromosome_10	464373	1
chromosome_10	464449	0
chromosome_10	464461	1
chromosome_10	464648	1
chromosome_10	464694	0
chromosome_10	464871	0
chromosome_10	464984	0
chromosome_10	465004	1
chromosome_10	465118	0
chromosome_10	465268	0
chromosome_10	465366	1
chromosome_10	465369	1
chromosome_10	465381	0
chromosome_10	465409	0
chromosome_10	465447	0
chromosome_10	465449	1
chromosome_10	465471	1
chromosome_10	465487	0
chromosome_10	465514	0
chromosome_10	465539	1
chromosome_10	465676	0
chromosome_10	465703	0
chromosome_10	465725	0
chromosome_10	465831	1
chromosome_10	465854	1
chromosome_10	465900	0
chromosome_10	466092	1
chromosome_10	466372	1
chromosome_10	466472	1
chromosome_10	466476	0
chromosome_10	466477	1
chromosome_10	466480	0
chromosome_10	466573	1
chromosome_10	466612	0
chromosome_10	466661	1
chromosome_10	466671	0
chromosome_10	466794	0
chromosome_10	467006	1
chromosome_10	467138	1
chromosome_10	467213	1
chromosome_10	467281	1
chromosome_10	467292	1
chromosome_10	467345	1
chromosome_10	467438	0
chromosome_10	467464	0
chromosome_10	467477	0
chromosome_10	467530	1
chromosome_10	467563	1
chromosome_10	467568	1
chromosome_10	467619	1
chromosome_10	467707	1
chromosome_10	467708	1
chromosome_10	467719	0
chromosome_10	467720	1
chromosome_10	467726	1
chromosome_10	467727	1
chromosome_10	467730	0
chromosome_10	467761	1
chromosome_10	467788	1
chromosome_10	467807	1
chromosome_10	468503	0
chromosome_10	468715	1
chromosome_10	469372	0
chromosome_10	469603	1
chromosome_10	469609	1
chromosome_10	469615	0
chromosome_10	469624	0
chromosome_10	469636	0
chromosome_10	469706	0
chromosome_10	469710	1
chromosome_10	469717	0
chromosome_10	469727	1
chromosome_10	469746	1
chromosome_10	469795	0
chromosome_10	469809	1
chromosome_10	469892	0
chromosome_10	469916	1
chromosome_10	469927	1
chromosome_10	469938	0
chromosome_10	470080	0
chromosome_10	470113	0
chromosome_10	470563	0
chromosome_10	470565	0
chromosome_10	470579	1
chromosome_10	470600	0
chromosome_10	470616	0
chromosome_10	470658	1
chromosome_10	470742	0
chromosome_10	470754	0
chromosome_10	470769	0
chromosome_10	470781	1
chromosome_10	470831	0
chromosome_10	470886	0
chromosome_10	470888	0
chromosome_10	470909	1
chromosome_10	470939	0
chromosome_10	470950	0
chromosome_10	471044	0
chromosome_10	471058	1
chromosome_10	471063	1
chromosome_10	471068	0
chromosome_10	471107	1
chromosome_10	471118	1
chromosome_10	471120	1
chromosome_10	471135	0
chromosome_10	471140	0
chromosome_10	471165	0
chromosome_10	471326	1
chromosome_10	471775	1
chromosome_10	471985	0
chromosome_10	471991	0
chromosome_10	472010	0
chromosome_10	472014	0
chromosome_10	472045	1
chromosome_10	472109	1
chromosome_10	472131	0
chromosome_10	472207	0
chromosome_10	472249	1
chromosome_10	472253	0
chromosome_10	472254	0
chromosome_10	472286	0
chromosome_10	472295	1
chromosome_10	472306	0
chromosome_10	472398	0
chromosome_10	472427	0
chromosome_10	472429	0
chromosome_10	472456	0
chromosome_10	472462	1
chromosome_10	472726	1
chromosome_10	472737	0
chromosome_10	472863	1
chromosome_10	473333	1
chromosome_10	473602	1
chromosome_10	473685	1
chromosome_10	474026	1
chromosome_10	474301	1
chromosome_10	474627	1
chromosome_10	474965	1
chromosome_10	475246	1
chromosome_10	475267	0
chromosome_10	475269	1
chromosome_10	475290	1
chromosome_10	475299	1
chromosome_10	475314	0
chromosome_10	475317	1
chromosome_10	475332	1
chromosome_10	475333	0
chromosome_10	475431	1
chromosome_10	475446	0
chromosome_10	475505	1
chromosome_10	475915	0
chromosome_10	476177	0
chromosome_10	476180	1
chromosome_10	476215	1
chromosome_10	476242	0
chromosome_10	476287	0
chromosome_10	476291	0
chromosome_10	476330	1
chromosome_10	476338	0
chromosome_10	476366	1
chromosome_10	476370	0
chromosome_10	476405	0
chromosome_10	476478	0
chromosome_10	476490	1
chromosome_10	476570	1
chromosome_10	476571	1
chromosome_10	476662	0
chromosome_10	476690	1
chromosome_10	476721	1
chromosome_10	476822	1
chromosome_10	476834	1
chromosome_10	476835	1
chromosome_10	476926	0
chromosome_10	476968	1
chromosome_10	477056	0
chromosome_10	477151	1
chromosome_10	477177	1
chromosome_10	477596	0
chromosome_10	477610	0
chromosome_10	477621	0
chromosome_10	477660	0
chromosome_10	477663	1
chromosome_10	477679	1
chromosome_10	477680	1
chromosome_10	477681	1
chromosome_10	477695	1
chromosome_10	477757	0
chromosome_10	477799	0
chromosome_10	477844	0
chromosome_10	477861	0
chromosome_10	477863	1
chromosome_10	477904	0
chromosome_10	477920	1
chromosome_10	477922	0
chromosome_10	477930	0
chromosome_10	477940	0
chromosome_10	477956	1
chromosome_10	477997	0
chromosome_10	477998	1
chromosome_10	478055	1
chromosome_10	478065	1
chromosome_10	478134	1
chromosome_10	478168	0
chromosome_10	478173	1
chromosome_10	478183	1
chromosome_10	478193	1
chromosome_10	478194	1
chromosome_10	478197	1
chromosome_10	478269	0
chromosome_10	478284	0
chromosome_10	478289	0
chromosome_10	478439	1
chromosome_10	478451	1
chromosome_10	478503	1
chromosome_10	478506	1
chromosome_10	478571	1
chromosome_10	478583	1
chromosome_10	478630	0
chromosome_10	478667	1
chromosome_10	478764	0
chromosome_10	478958	1
chromosome_10	478961	0
chromosome_10	479072	0
chromosome_10	479143	0
chromosome_10	479165	1
chromosome_10	479224	1
chromosome_10	479239	1
chromosome_10	479270	0
chromosome_10	479313	0
chromosome_10	479354	0
chromosome_10	479373	1
chromosome_10	479455	1
chromosome_10	479497	1
chromosome_10	479517	1
chromosome_10	479526	0
chromosome_10	479581	0
chromosome_10	479583	0
chromosome_10	479724	1
chromosome_10	479729	0
chromosome_10	479935	0
chromosome_10	479969	0
chromosome_10	480085	0
chromosome_10	480095	0
chromosome_10	480113	0
chromosome_10	480119	1
chromosome_10	480127	0
chromosome_10	480134	0
chromosome_10	480146	1
chromosome_10	480167	0
chromosome_10	480173	1
chromosome_10	480177	0
chromosome_10	480178	0
chromosome_10	480218	1
chromosome_10	480296	1
chromosome_10	480303	0
chromosome_10	480306	1
chromosome_10	480310	1
chromosome_10	480318	0
chromosome_10	480328	1
chromosome_10	480330	0
chromosome_10	480333	0
chromosome_10	480336	1
chromosome_10	480338	1
chromosome_10	480339	1
chromosome_10	480345	1
chromosome_10	480350	0
chromosome_10	480385	1
chromosome_10	480392	0
chromosome_10	480397	1
chromosome_10	480402	0
chromosome_10	480414	1
chromosome_10	480417	0
chromosome_10	480427	0
chromosome_10	480438	1
chromosome_10	480446	0
chromosome_10	480453	0
chromosome_10	480456	1
chromosome_10	480458	1
chromosome_10	480465	0
chromosome_10	480469	0
chromosome_10	480473	1
chromosome_10	480474	1
chromosome_10	480483	0
chromosome_10	480503	0
chromosome_10	480521	1
chromosome_10	480527	1
chromosome_10	480556	0
chromosome_10	480571	0
chromosome_10	480589	0
chromosome_10	480593	1
chromosome_10	480595	1
chromosome_10	480599	0
chromosome_10	480601	0
chromosome_10	480605	0
chromosome_10	480616	0
chromosome_10	480622	0
chromosome_10	480626	0
chromosome_10	480683	1
chromosome_10	480792	1
chromosome_10	480886	0
chromosome_10	480891	1
chromosome_10	480897	1
chromosome_10	480904	0
chromosome_10	480909	1
chromosome_10	480913	1
chromosome_10	480916	0
chromosome_10	481097	0
chromosome_10	481134	1
chromosome_10	481139	1
chromosome_10	481171	1
chromosome_10	481182	0
chromosome_10	481215	0
chromosome_10	481218	0
chromosome_10	481251	1
chromosome_10	481259	1
chromosome_10	481267	1
chromosome_10	481415	1
chromosome_10	481421	0
chromosome_10	481657	1
chromosome_10	482152	0
chromosome_10	482184	0
chromosome_10	482271	1
chromosome_10	482281	1
chromosome_10	482285	0
chromosome_10	482317	0
chromosome_10	482374	1
chromosome_10	482397	0
chromosome_10	482398	0
chromosome_10	482404	0
chromosome_10	482405	0
chromosome_10	482415	1
chromosome_11	495252	0
chromosome_11	495261	0
chromosome_11	495297	0
chromosome_11	495304	0
chromosome_11	495333	0
chromosome_11	495345	1
chromosome_11	495614	0
chromosome_11	495623	1
chromosome_11	495716	1
chromosome_11	495725	1
chromosome_11	495728	0
chromosome_11	495729	0
chromosome_11	495731	0
chromosome_11	495814	0
chromosome_11	495839	1
chromosome_11	495868	1
chromosome_11	495888	0
chromosome_11	495898	0
chromosome_11	495917	0
chromosome_11	495980	0
chromosome_11	496000	0
chromosome_11	496006	0
chromosome_11	496011	0
chromosome_11	496039	1
chromosome_11	496073	1
chromosome_11	496076	0
chromosome_11	496080	1
chromosome_11	496092	0
chromosome_11	496170	0
chromosome_11	496280	0
chromosome_11	496285	1
chromosome_11	496292	0
chromosome_11	496321	1
chromosome_11	496557	0
chromosome_11	496575	0
chromosome_11	496898	1
chromosome_11	496925	0
chromosome_11	496942	0
chromosome_11	496943	0
chromosome_11	496976	1
chromosome_11	497056	0
chromosome_11	497108	0
chromosome_11	497121	1
chromosome_11	497124	1
chromosome_11	497148	1
chromosome_11	497161	1
chromosome_11	497165	0
chromosome_11	497179	0
chromosome_11	497197	0
chromosome_11	497204	1
chromosome_11	497208	1
chromosome_11	497209	0
chromosome_11	497274	0
chromosome_11	497280	0
chromosome_11	497286	0
chromosome_11	497483	1
chromosome_11	497550	1
chromosome_11	497621	1
chromosome_11	497653	1
chromosome_11	497713	0
chromosome_11	497760	0
chromosome_11	497802	0
chromosome_11	497809	0
chromosome_11	497836	0
chromosome_11	497849	0
chromosome_11	498008	0
chromosome_11	498073	1
chromosome_11	498123	1
chromosome_11	498156	1
chromosome_11	498203	1
chromosome_11	498251	1
chromosome_11	498280	0
chromosome_11	498281	0
chromosome_11	498413	0
chromosome_11	498563	0
chromosome_11	498584	1
chromosome_11	498763	1
chromosome_11	498770	1
chromosome_11	498805	1
chromosome_11	498836	0
chromosome_11	498930	0
chromosome_11	499024	0
chromosome_11	499141	1
chromosome_11	499169	0
chromosome_11	499324	0
chromosome_11	499422	1
chromosome_11	499495	0
chromosome_11	499547	0
chromosome_11	499557	1
chromosome_11	499602	0
chromosome_11	499823	0
chromosome_11	499836	0
chromosome_11	499848	1
chromosome_11	500018	0
chromosome_11	500443	0
chromosome_11	500510	0
chromosome_11	500525	1
chromosome_11	500822	0
chromosome_11	501070	0
chromosome_11	501304	0
chromosome_11	501392	0
chromosome_11	501397	0
chromosome_11	501419	1
chromosome_11	501496	1
chromosome_11	501742	1
chromosome_11	501753	1
chromosome_11	501767	1
chromosome_11	501789	0
chromosome_11	502168	0
chromosome_11	502183	0
chromosome_11	502426	0
chromosome_11	502428	1
chromosome_11	502433	1
chromosome_11	502471	1
chromosome_11	502494	1
chromosome_11	502542	1
chromosome_11	502579	1
chromosome_11	502765	0
chromosome_11	502859	0
chromosome_11	502938	1
chromosome_11	503045	1
chromosome_11	503056	1
chromosome_11	503169	0
chromosome_11	503170	1
chromosome_11	503200	0
chromosome_11	503316	0
chromosome_11	503356	1
chromosome_11	503481	0
chromosome_11	503510	1
chromosome_11	503760	1
chromosome_11	503873	1
chromosome_11	503973	1
chromosome_11	503990	1
chromosome_11	504128	1
chromosome_11	504205	0
chromosome_11	504258	0
chromosome_11	504264	0
chromosome_11	504343	0
chromosome_11	504356	1
chromosome_11	504358	0
chromosome_11	504372	0
chromosome_11	504381	1
chromosome_11	504402	1
chromosome_11	504403	1
chromosome_11	504442	0
chromosome_11	504444	1
chromosome_11	504505	0
chromosome_11	504550	1
chromosome_11	504597	1
chromosome_11	504618	1
chromosome_11	504647	1
chromosome_11	504680	0
chromosome_11	504684	1
chromosome_11	505395	1
chromosome_11	505407	1
chromosome_11	505471	0
chromosome_11	505480	1
chromosome_11	505538	1
chromosome_11	505573	0
chromosome_11	505610	1
chromosome_11	505687	1
chromosome_11	505897	0
chromosome_11	505982	1
chromosome_11	506055	1
chromosome_11	506117	1
chromosome_11	506120	0
chromosome_11	506195	0
chromosome_11	506241	0
chromosome_11	506465	0
chromosome_11	506491	1
chromosome_11	506587	1
chromosome_11	506721	1
chromosome_11	506782	0
chromosome_11	506881	1
chromosome_11	506905	0
chromosome_11	506920	0
chromosome_11	506927	1
chromosome_11	506945	1
chromosome_11	506991	1
chromosome_11	507104	0
chromosome_11	507107	1
chromosome_11	507129	0
chromosome_11	507343	1
chromosome_11	507348	1
chromosome_11	507392	1
chromosome_11	507415	0
chromosome_11	507424	1
chromosome_11	507442	1
chromosome_11	507513	1
chromosome_11	507548	1
chromosome_11	507594	0
chromosome_11	507618	1
chromosome_11	507669	0
chromosome_11	507681	0
chromosome_11	507687	0
chromosome_11	507694	1
chromosome_11	507696	0
chromosome_11	507699	0
chromosome_11	507701	0
chromosome_11	507711	0
chromosome_11	507713	0
chromosome_11	507725	1
chromosome_11	507729	0
chromosome_11	507751	0
chromosome_11	507763	0
chromosome_11	507767	1
chromosome_11	507768	1
chromosome_11	507782	0
chromosome_11	507784	0
chromosome_11	507799	0
chromosome_11	507800	1
chromosome_11	507814	1
chromosome_11	507832	0
chromosome_11	507855	1
chromosome_11	507886	0
chromosome_11	507940	1
chromosome_11	507941	0
chromosome_11	507958	1
chromosome_11	507968	1
chromosome_11	507982	0
chromosome_11	508125	1
chromosome_11	508144	1
chromosome_11	508155	1
chromosome_11	508175	1
chromosome_11	508238	1
chromosome_11	508239	1
chromosome_11	508270	1
chromosome_11	508293	1
chromosome_11	508323	0
chromosome_11	508342	1
chromosome_11	508392	0
chromosome_11	508430	1
chromosome_11	508593	0
chromosome_11	508624	1
chromosome_11	508773	1
chromosome_11	508782	0
chromosome_11	508824	0
chromosome_11	508834	0
chromosome_11	508835	0
chromosome_11	508872	1
chromosome_11	508946	1
chromosome_11	508965	1
chromosome_11	508978	1
chromosome_11	509018	0
chromosome_11	509045	0
chromosome_11	509061	0
chromosome_11	509102	1
chromosome_11	509108	1
chromosome_11	509265	0
chromosome_11	509336	1
chromosome_11	509408	1
chromosome_11	509416	0
chromosome_11	509448	0
chromosome_11	509452	0
chromosome_11	509496	1
chromosome_11	509502	1
chromosome_11	509586	0
chromosome_11	509612	1
chromosome_11	509621	1
chromosome_11	509631	1
chromosome_11	509654	0
chromosome_11	509669	0
chromosome_11	509676	0
chromosome_11	509688	1
chromosome_11	509751	1
chromosome_11	509779	1
chromosome_11	509960	0
chromosome_11	510054	0
chromosome_11	510142	0
chromosome_11	510175	1
chromosome_11	510193	1
chromosome_11	510228	1
chromosome_11	510234	0
chromosome_11	510279	0
chromosome_11	510359	1
chromosome_11	510421	0
chromosome_11	510429	1
chromosome_11	510443	1
chromosome_11	510452	0
chromosome_11	510470	0
chromosome_11	510519	1
chromosome_11	510541	1
chromosome_11	510591	1
chromosome_11	510731	0
chromosome_11	510752	0
chromosome_11	510776	1
chromosome_11	510779	0
chromosome_11	510781	1
chromosome_11	510825	1
chromosome_11	510867	0
chromosome_11	510927	0
chromosome_11	510972	0
chromosome_11	510974	0
chromosome_11	510975	0
chromosome_11	511004	0
chromosome_11	511007	1
chromosome_11	511114	0
chromosome_11	511223	0
chromosome_11	511250	1
chromosome_11	511251	1
chromosome_11	511274	1
chromosome_11	511299	0
chromosome_11	511400	0
chromosome_11	511412	1
chromosome_11	511427	0
chromosome_11	511436	0
chromosome_11	511442	0
chromosome_11	511445	0
chromosome_11	511532	0
chromosome_11	511586	1
chromosome_11	511613	0
chromosome_11	511684	0
chromosome_11	511698	0
chromosome_11	511714	0
chromosome_11	511730	1
chromosome_11	511731	0
chromosome_11	511755	0
chromosome_11	511798	0
chromosome_11	511815	0
chromosome_11	511834	1
chromosome_11	511847	0
chromosome_11	511857	0
chromosome_11	511973	1
chromosome_11	511978	1
chromosome_11	511980	0
chromosome_11	511991	0
chromosome_11	511994	1
chromosome_11	512066	0
chromosome_11	512148	0
chromosome_11	512175	1
chromosome_11	512199	1
chromosome_11	512264	1
chromosome_11	512294	0
chromosome_11	512298	1
chromosome_11	512299	0
chromosome_11	512508	1
chromosome_11	512583	1
chromosome_11	512590	1
chromosome_11	512592	1
chromosome_11	512608	1
chromosome_11	512672	1
chromosome_11	512689	1
chromosome_12	424608	1
chromosome_12	424611	1
chromosome_12	424616	1
chromosome_12	424625	0
chromosome_12	424659	0
chromosome_12	424696	1
chromosome_12	424736	0
chromosome_12	424763	1
chromosome_12	424780	0
chromosome_12	424832	0
chromosome_12	424898	0
chromosome_12	424911	1
chromosome_12	424915	1
chromosome_12	424949	1
chromosome_12	424950	0
chromosome_12	424978	0
chromosome_12	424982	0
chromosome_12	424988	0
chromosome_12	424989	0
chromosome_12	425003	1
chromosome_12	425021	1
chromosome_12	425022	0
chromosome_12	425178	1
chromosome_12	425183	0
chromosome_12	425208	1
chromosome_12	425213	1
chromosome_12	425258	1
chromosome_12	425265	1
chromosome_12	425285	1
chromosome_12	425292	1
chromosome_12	425295	0
chromosome_12	425303	0
chromosome_12	425317	1
chromosome_12	425397	1
chromosome_12	425403	0
chromosome_12	425418	1
chromosome_12	425461	1
chromosome_12	425470	0
chromosome_12	425471	0
chromosome_12	425478	0
chromosome_12	425502	0
chromosome_12	425522	1
chromosome_12	425523	1
chromosome_12	425524	0
chromosome_12	425567	1
chromosome_12	425598	0
chromosome_12	425606	1
chromosome_12	425623	1
chromosome_12	425626	0
chromosome_12	425650	0
chromosome_12	425682	1
chromosome_12	425713	0
chromosome_12	425717	0
chromosome_12	425794	0
chromosome_12	425814	1
chromosome_12	425891	0
chromosome_12	425901	1
chromosome_12	425910	0
chromosome_12	425912	1
chromosome_12	425971	1
chromosome_12	425978	1
chromosome_12	426032	0
chromosome_12	426126	0
chromosome_12	426158	1
chromosome_12	426162	1
chromosome_12	426175	1
chromosome_12	426212	1
chromosome_12	426231	1
chromosome_12	426254	0
chromosome_12	426264	0
chromosome_12	426313	1
chromosome_12	426350	0
chromosome_12	426438	1
chromosome_12	426445	0
chromosome_12	426453	1
chromosome_12	426463	1
chromosome_12	426488	1
chromosome_12	426499	0
chromosome_12	426541	0
chromosome_12	426586	0
chromosome_12	426591	0
chromosome_12	426601	0
chromosome_12	426654	1
chromosome_12	426669	0
chromosome_12	426689	1
chromosome_12	426702	0
chromosome_12	426718	0
chromosome_12	426724	1
chromosome_12	426744	0
chromosome_12	426754	0
chromosome_12	426763	1
chromosome_12	426764	1
chromosome_12	426767	1
chromosome_12	426768	0
chromosome_12	426769	0
chromosome_12	426817	1
chromosome_12	426835	1
chromosome_12	426839	1
chromosome_12	426853	1
chromosome_12	426880	1
chromosome_12	426887	0
chromosome_12	426908	1
chromosome_12	426920	0
chromosome_12	427023	1
chromosome_12	427038	1
chromosome_12	427047	0
chromosome_12	427075	0
chromosome_12	427080	1
chromosome_12	427085	1
chromosome_12	427095	0
chromosome_12	427135	0
chromosome_12	427137	1
chromosome_12	427166	1
chromosome_12	427172	1
chromosome_12	427178	0
chromosome_12	427181	0
chromosome_12	427184	0
chromosome_12	427185	1
chromosome_12	427268	0
chromosome_12	427287	0
chromosome_12	427293	1
chromosome_12	427338	0
chromosome_12	427368	1
chromosome_12	427397	0
chromosome_12	427399	1
chromosome_12	427476	0
chromosome_12	427482	1
chromosome_12	427494	0
chromosome_12	427631	1
chromosome_12	427638	1
chromosome_12	427639	1
chromosome_12	427680	1
chromosome_12	427912	1
chromosome_12	427944	0
chromosome_12	427971	1
chromosome_12	427988	1
chromosome_12	428012	0
chromosome_12	428069	1
chromosome_12	428086	1
chromosome_12	428089	0
chromosome_12	428100	0
chromosome_12	428215	0
chromosome_12	428247	0
chromosome_12	428305	0
chromosome_12	428497	0
chromosome_12	428501	1
chromosome_12	428512	0
chromosome_12	428529	1
chromosome_12	428737	1
chromosome_12	428738	1
chromosome_12	428840	1
chromosome_12	428902	0
chromosome_12	428971	0
chromosome_12	428981	0
chromosome_12	428990	1
chromosome_12	428995	1
chromosome_12	429004	0
chromosome_12	429036	0
chromosome_12	429044	1
chromosome_12	429050	0
chromosome_12	429052	1
chromosome_12	429055	0
chromosome_12	429059	1
chromosome_12	429065	1
chromosome_12	429075	0
chromosome_12	429080	0
chromosome_12	429092	1
chromosome_12	429095	1
chromosome_12	429110	0
chromosome_12	429139	0
chromosome_12	429143	0
chromosome_12	429144	0
chromosome_12	429147	0
chromosome_12	429159	1
chromosome_12	429341	1
chromosome_12	429380	0
chromosome_12	429486	0
chromosome_12	429515	1
chromosome_12	429530	0
chromosome_12	429556	0
chromosome_12	429560	1
chromosome_12	429567	0
chromosome_12	429661	1
chromosome_12	429726	0
chromosome_12	429760	0
chromosome_12	429770	0
chromosome_12	429812	1
chromosome_12	429829	1
chromosome_12	429848	0
chromosome_12	429874	1
chromosome_12	429923	1
chromosome_12	430051	0
chromosome_12	430107	0
chromosome_12	430148	1
chromosome_12	430233	1
chromosome_12	430255	1
chromosome_12	430265	1
chromosome_12	430273	0
chromosome_12	430274	1
chromosome_12	430296	1
chromosome_12	430324	1
chromosome_12	430375	1
chromosome_12	430381	0
chromosome_12	430408	1
chromosome_12	430409	1
chromosome_12	430554	1
chromosome_12	430571	1
chromosome_12	430597	1
chromosome_12	430610	0
chromosome_12	430637	1
chromosome_12	430712	0
chromosome_12	430766	0
chromosome_12	430829	0
chromosome_12	430899	1
chromosome_12	430904	1
chromosome_12	430933	0
chromosome_12	430946	1
chromosome_12	430971	0
chromosome_12	430982	1
chromosome_12	430988	1
chromosome_12	431046	1
chromosome_12	431157	1
chromosome_12	431162	0
chromosome_12	431170	1
chromosome_12	431288	1
chromosome_12	431290	1
chromosome_12	431374	0
chromosome_12	431421	1
chromosome_12	431447	0
chromosome_12	431581	0
chromosome_12	431662	1
chromosome_12	431696	1
chromosome_12	431706	0
chromosome_12	431714	1
chromosome_12	431728	1
chromosome_12	431750	0
chromosome_12	431755	1
chromosome_12	431785	0
chromosome_12	431787	0
chromosome_12	431804	1
chromosome_12	431840	1
chromosome_12	431866	1
chromosome_12	431899	0
chromosome_12	431901	1
chromosome_12	431904	1
chromosome_12	431921	0
chromosome_12	431935	0
chromosome_12	431945	0
chromosome_12	432018	0
chromosome_12	432026	0
chromosome_12	432038	1
chromosome_12	432071	0
chromosome_12	432073	0
chromosome_12	432109	1
chromosome_12	432137	0
chromosome_12	432141	1
chromosome_12	432185	0
chromosome_12	432227	1
chromosome_12	432259	1
chromosome_12	432278	0
chromosome_12	432295	0
chromosome_12	432305	0
chromosome_12	432320	0
chromosome_12	432333	0
chromosome_12	432355	1
chromosome_12	432362	1
chromosome_12	432371	1
chromosome_12	432379	0
chromosome_12	432399	1
chromosome_12	432400	1
chromosome_12	432404	0
chromosome_12	432420	0
chromosome_12	432451	1
chromosome_12	432477	1
chromosome_12	432605	1
chromosome_12	432666	0
chromosome_12	432782	1
chromosome_12	433782	1
chromosome_12	433952	1
chromosome_12	433979	0
chromosome_12	433997	0
chromosome_12	434118	1
chromosome_12	434171	0
chromosome_12	434259	0
chromosome_12	434281	1
chromosome_12	434282	0
chromosome_12	434283	0
chromosome_12	434284	1
chromosome_12	434285	0
chromosome_12	434297	1
chromosome_12	434298	1
chromosome_12	434304	0
chromosome_12	434342	1
chromosome_12	434409	1
chromosome_12	434413	1
chromosome_12	434420	0
chromosome_12	434424	0
chromosome_12	434452	0
chromosome_12	434544	0
chromosome_12	434553	1
chromosome_12	434583	1
chromosome_12	434834	0
chromosome_12	435404	1
chromosome_12	435422	1
chromosome_12	435429	1
chromosome_12	435472	1
chromosome_12	435486	0
chromosome_12	435557	1
chromosome_12	435559	1
chromosome_12	435563	1
chromosome_12	435567	0
chromosome_12	435759	1
chromosome_12	435809	0
chromosome_12	435810	1
chromosome_12	435852	0
chromosome_12	435889	1
chromosome_12	435930	0
chromosome_12	435933	1
chromosome_12	435952	0
chromosome_12	435971	0
chromosome_12	436014	0
chromosome_12	436017	0
chromosome_12	436019	0
chromosome_12	436024	1
chromosome_12	436029	0
chromosome_12	436078	1
chromosome_12	436083	0
chromosome_12	436115	0
chromosome_12	436133	1
chromosome_12	436189	0
chromosome_12	436215	1
chromosome_12	436223	1
chromosome_12	436248	0
chromosome_12	436286	0
chromosome_12	436295	1
chromosome_12	436402	1
chromosome_12	436420	1
chromosome_12	436462	0
chromosome_12	436463	1
chromosome_12	436571	0
chromosome_12	436580	1
chromosome_12	436601	0
chromosome_12	436660	1
chromosome_12	436669	0
chromosome_12	436717	1
chromosome_12	436719	0
chromosome_12	436723	0
chromosome_12	436740	1
chromosome_12	436752	0
chromosome_12	436791	1
chromosome_12	436799	1
chromosome_12	436809	1
chromosome_12	436873	0
chromosome_12	436917	1
chromosome_12	436933	1
chromosome_12	436939	1
chromosome_12	437206	0
chromosome_12	437255	1
chromosome_12	437271	0
chromosome_12	437328	1
chromosome_12	437394	1
chromosome_12	437811	0
chromosome_12	437823	0
chromosome_12	437882	0
chromosome_12	437968	1
chromosome_12	437996	0
chromosome_12	438055	0
chromosome_12	438109	0
chromosome_12	438151	0
chromosome_12	438232	1
chromosome_12	438307	1
chromosome_12	438321	1
chromosome_12	438329	0
chromosome_12	438347	0
chromosome_12	438433	1
chromosome_12	438444	0
chromosome_12	438495	1
chromosome_12	438504	0
chromosome_12	438513	1
chromosome_12	438518	1
chromosome_12	438522	0
chromosome_12	438536	0
chromosome_12	438549	0
chromosome_12	438565	1
chromosome_12	438606	0
chromosome_12	438676	1
chromosome_12	438777	0
chromosome_12	438838	0
chromosome_12	438883	1
